1 0 0 |[0, 0, 0]| rush
18 0 0 |[0, 0, 0]| rush
35 0 0 |[0, 0, 0]| rush
48 0 0 |[0, 0, 0]| rush
57 0 0 |[0, 0, 0]| rush
74 0 0 |[0, 0, 0]| rush
87 0 0 |[0, 0, 0]| rush
98 0 0 |[0, 0, 0]| rush
103 0 0 |[0, 0, 0]| rush
111 0 0 |[0, 0, 0]| rush
124 0 0 |[0, 0, 0]| rush
127 0 0 |[0, 0, 0]| rush
143 0 0 |[0, 0, 0]| rush
153 0 0 |[0, 0, 0]| rush
155 0 0 |[0, 0, 0]| rush
170 0 0 |[0, 0, 0]| rush
175 0 0 |[0, 0, 0]| rush
178 0 0 |[0, 0, 0]| rush
187 0 0 |[0, 0, 0]| rush
198 0 0 |[0, 0, 0]| rush
211 0 0 |[0, 0, 0]| rush
226 0 0 |[0, 0, 0]| rush
235 0 0 |[0, 0, 0]| rush
251 0 0 |[0, 0, 0]| rush
256 0 0 |[0, 0, 0]| rush
256 0 0 |[0, 0, 0]| rush
261 0 0 |[0, 0, 0]| rush
277 0 0 |[0, 0, 0]| rush
278 0 0 |[0, 0, 0]| rush
288 0 0 |[0, 0, 0]| rush
289 0 0 |[0, 0, 0]| rush
300 0 0 |[0, 0, 0]| rush
303 0 0 |[0, 0, 0]| rush
312 0 0 |[0, 0, 0]| rush
320 0 0 |[0, 0, 0]| rush
331 0 0 |[0, 0, 0]| rush
333 0 0 |[0, 0, 0]| rush
335 0 0 |[0, 0, 0]| rush
343 0 0 |[0, 0, 0]| rush
344 0 0 |[0, 0, 0]| rush
347 0 0 |[0, 0, 0]| rush
360 0 0 |[0, 0, 0]| rush
364 0 0 |[0, 0, 0]| rush
367 0 0 |[0, 0, 0]| rush
368 0 0 |[0, 0, 0]| rush
370 0 0 |[0, 0, 0]| rush
376 0 0 |[0, 0, 0]| rush
381 0 0 |[0, 0, 0]| rush
382 0 0 |[0, 0, 0]| rush
388 0 0 |[0, 0, 0]| rush
393 0 0 |[0, 0, 0]| rush
399 0 0 |[0, 0, 0]| rush
402 0 0 |[0, 0, 0]| rush
405 0 0 |[0, 0, 0]| rush
407 0 0 |[0, 0, 0]| rush
419 0 0 |[0, 0, 0]| rush
427 0 0 |[0, 0, 0]| rush
427 0 0 |[0, 0, 0]| rush
436 0 0 |[0, 0, 0]| rush
436 0 0 |[0, 0, 0]| rush
438 0 0 |[0, 0, 0]| rush
438 0 0 |[0, 0, 0]| rush
443 0 0 |[0, 0, 0]| rush
447 0 0 |[0, 0, 0]| rush
452 0 0 |[0, 0, 0]| rush
453 0 0 |[0, 0, 0]| rush
459 0 0 |[0, 0, 0]| rush
468 0 0 |[0, 0, 0]| rush
469 0 0 |[0, 0, 0]| rush
470 0 0 |[0, 0, 0]| rush
473 0 0 |[0, 0, 0]| rush
480 0 0 |[0, 0, 0]| rush
480 0 0 |[0, 0, 0]| rush
488 0 0 |[0, 0, 0]| rush
493 0 0 |[0, 0, 0]| rush
501 0 0 |[0, 0, 0]| rush
510 0 0 |[0, 0, 0]| rush
522 0 0 |[0, 0, 0]| rush
527 0 0 |[0, 0, 0]| rush
531 0 0 |[0, 0, 0]| rush
538 0 0 |[0, 0, 0]| rush
539 0 0 |[0, 0, 0]| rush
539 0 0 |[0, 0, 0]| rush
542 0 0 |[0, 0, 0]| rush
544 0 0 |[0, 0, 0]| rush
556 0 0 |[0, 0, 0]| rush
563 0 0 |[0, 0, 0]| rush
564 0 0 |[0, 0, 0]| rush
565 0 0 |[0, 0, 0]| rush
565 0 0 |[0, 0, 0]| rush
565 0 0 |[0, 0, 0]| rush
574 0 0 |[0, 0, 0]| rush
576 0 0 |[0, 0, 0]| rush
580 0 0 |[0, 0, 0]| rush
583 0 0 |[0, 0, 0]| rush
588 0 0 |[0, 0, 0]| rush
589 0 0 |[0, 0, 0]| rush
590 0 0 |[0, 0, 0]| rush
597 0 0 |[0, 0, 0]| rush
607 0 0 |[0, 0, 0]| rush
611 0 0 |[0, 0, 0]| rush
611 0 0 |[0, 0, 0]| rush
611 0 0 |[0, 0, 0]| rush
614 0 0 |[0, 0, 0]| rush
624 0 0 |[0, 0, 0]| rush
624 0 0 |[0, 0, 0]| rush
630 0 0 |[0, 0, 0]| rush
631 0 0 |[0, 0, 0]| rush
632 0 0 |[0, 0, 0]| rush
638 0 0 |[0, 0, 0]| rush
650 0 0 |[0, 0, 0]| rush
653 0 0 |[0, 0, 0]| rush
659 0 0 |[0, 0, 0]| rush
661 0 0 |[0, 0, 0]| rush
664 0 0 |[0, 0, 0]| rush
674 0 0 |[0, 0, 0]| rush
681 0 0 |[0, 0, 0]| rush
681 0 0 |[0, 0, 0]| rush
681 0 0 |[0, 0, 0]| rush
710 0 0 |[0, 0, 0]| rush
710 0 0 |[0, 0, 0]| rush
723 0 0 |[0, 0, 0]| rush
724 0 0 |[0, 0, 0]| rush
727 0 0 |[0, 0, 0]| rush
729 0 0 |[0, 0, 0]| rush
729 0 0 |[0, 0, 0]| rush
729 0 0 |[0, 0, 0]| rush
730 0 0 |[0, 0, 0]| rush
732 0 0 |[0, 0, 0]| rush
734 0 0 |[0, 0, 0]| rush
745 0 0 |[0, 0, 0]| rush
745 0 0 |[0, 0, 0]| rush
745 0 0 |[0, 0, 0]| rush
745 0 0 |[0, 0, 0]| rush
752 0 0 |[0, 0, 0]| rush
755 0 0 |[0, 0, 0]| rush
765 0 0 |[0, 0, 0]| rush
765 0 0 |[0, 0, 0]| rush
766 0 0 |[0, 0, 0]| rush
778 0 0 |[0, 0, 0]| rush
778 0 0 |[0, 0, 0]| rush
780 0 0 |[0, 0, 0]| rush
791 0 0 |[0, 0, 0]| rush
801 0 0 |[0, 0, 0]| rush
801 0 0 |[0, 0, 0]| rush
807 0 0 |[0, 0, 0]| rush
807 0 0 |[0, 0, 0]| rush
807 0 0 |[0, 0, 0]| rush
815 0 0 |[0, 0, 0]| rush
832 0 0 |[0, 0, 0]| rush
833 0 0 |[0, 0, 0]| rush
833 0 0 |[0, 0, 0]| rush
833 0 0 |[0, 0, 0]| rush
833 0 0 |[0, 0, 0]| rush
833 0 0 |[0, 0, 0]| rush
833 0 0 |[0, 0, 0]| rush
833 0 0 |[0, 0, 0]| rush
833 0 0 |[0, 0, 0]| rush
