1 0 1 |[1, 0, 0]| rush
17 0 2 |[2, 0, 0]| rush
27 0 3 |[3, 0, 0]| rush
48 0 3 |[3, 0, 0]| rush
56 0 4 |[4, 0, 0]| rush
73 0 5 |[5, 0, 0]| rush
73 0 6 |[6, 0, 0]| rush
80 0 7 |[7, 0, 0]| rush
95 0 8 |[8, 0, 0]| rush
108 0 9 |[9, 0, 0]| rush
135 0 9 |[9, 0, 1]| rush
139 0 10 |[10, 0, 1]| rush
164 0 10 |[10, 0, 1]| rush
167 0 11 |[11, 0, 1]| rush
173 0 12 |[12, 0, 1]| rush
184 0 13 |[13, 0, 1]| rush
192 0 13 |[13, 0, 1]| rush
202 0 14 |[14, 0, 1]| rush
224 0 15 |[15, 0, 1]| rush
224 0 15 |[15, 1, 1]| rush
237 0 15 |[15, 1, 1]| rush
238 0 15 |[15, 1, 1]| rush
240 0 16 |[16, 1, 1]| rush
249 0 17 |[17, 1, 1]| rush
249 0 18 |[18, 1, 1]| rush
264 0 19 |[19, 1, 1]| rush
264 0 20 |[20, 1, 1]| rush
266 0 20 |[20, 1, 1]| rush
295 0 20 |[20, 1, 2]| rush
302 0 21 |[21, 1, 2]| rush
302 0 22 |[22, 1, 2]| rush
307 50 22 |[22, 1, 2]| rush
307 100 22 |[22, 1, 2]| rush
316 100 22 |[22, 1, 2]| rush
322 100 23 |[23, 1, 2]| rush
324 100 24 |[24, 1, 2]| rush
327 100 25 |[25, 1, 2]| rush
340 100 26 |[26, 1, 2]| rush
340 100 27 |[27, 1, 2]| rush
341 100 27 |[27, 1, 2]| rush
355 100 28 |[28, 1, 2]| rush
356 100 28 |[28, 2, 2]| rush
356 100 28 |[28, 2, 2]| rush
359 100 29 |[29, 2, 2]| rush
362 100 30 |[30, 2, 2]| rush
365 100 31 |[31, 2, 2]| rush
376 100 32 |[32, 2, 2]| rush
376 100 33 |[33, 2, 2]| rush
377 100 34 |[34, 2, 2]| rush
385 100 34 |[34, 2, 2]| rush
396 100 34 |[34, 2, 2]| rush
397 100 35 |[35, 2, 2]| rush
397 100 36 |[36, 2, 2]| rush
397 100 37 |[37, 2, 2]| rush
404 100 37 |[37, 2, 2]| rush
413 100 37 |[37, 2, 2]| rush
416 100 38 |[38, 2, 2]| rush
424 100 38 |[38, 2, 2]| rush
429 100 38 |[38, 3, 2]| rush
429 100 39 |[39, 3, 2]| rush
432 100 40 |[40, 3, 2]| rush
437 100 40 |[40, 3, 2]| rush
445 100 40 |[40, 3, 2]| rush
460 100 40 |[40, 3, 2]| rush
465 100 41 |[41, 3, 2]| rush
465 100 42 |[42, 3, 2]| rush
466 100 43 |[43, 3, 2]| rush
468 100 43 |[43, 3, 2]| rush
468 100 43 |[43, 3, 2]| rush
469 100 43 |[43, 3, 2]| rush
494 100 43 |[43, 3, 2]| rush
494 100 43 |[43, 3, 2]| rush
494 100 43 |[43, 3, 2]| rush
494 100 43 |[43, 3, 2]| rush
537 100 43 |[43, 3, 2]| rush
538 100 43 |[43, 3, 2]| rush
538 100 43 |[43, 3, 2]| rush
538 100 43 |[43, 3, 2]| rush
548 100 44 |[44, 3, 2]| rush
549 100 44 |[44, 3, 2]| rush
549 100 44 |[44, 3, 2]| rush
550 100 44 |[44, 3, 2]| rush
562 100 44 |[44, 4, 2]| rush
570 100 45 |[45, 4, 2]| rush
571 100 46 |[46, 4, 2]| rush
571 100 47 |[47, 4, 2]| rush
571 100 48 |[48, 4, 2]| rush
571 100 49 |[49, 4, 2]| rush
571 100 50 |[50, 4, 2]| rush
571 100 51 |[51, 4, 2]| rush
571 100 52 |[52, 4, 2]| rush
580 100 53 |[53, 4, 2]| rush
580 100 54 |[54, 4, 2]| rush
613 150 54 |[54, 4, 2]| rush
613 200 54 |[54, 4, 2]| rush
614 250 54 |[54, 4, 2]| rush
614 300 54 |[54, 4, 2]| rush
614 350 54 |[54, 4, 2]| rush
614 400 54 |[54, 4, 2]| rush
614 450 54 |[54, 4, 2]| rush
614 500 54 |[54, 4, 2]| rush
614 550 54 |[54, 4, 2]| rush
614 600 54 |[54, 4, 2]| rush
614 650 54 |[54, 4, 2]| rush
614 700 54 |[54, 4, 2]| rush
614 750 54 |[54, 4, 2]| rush
614 800 54 |[54, 4, 2]| rush
614 850 54 |[54, 4, 2]| rush
614 900 54 |[54, 4, 2]| rush
614 950 54 |[54, 4, 2]| rush
614 1000 54 |[54, 4, 2]| rush
614 1050 54 |[54, 4, 2]| rush
614 1100 54 |[54, 4, 2]| rush
614 1150 54 |[54, 4, 2]| rush
614 1200 54 |[54, 4, 2]| rush
614 1250 54 |[54, 4, 2]| rush
614 1300 54 |[54, 4, 2]| rush
614 1350 54 |[54, 4, 2]| rush
614 1400 54 |[54, 4, 2]| rush
614 1450 54 |[54, 4, 2]| rush
614 1500 54 |[54, 4, 2]| rush
614 1550 54 |[54, 4, 2]| rush
614 1600 54 |[54, 4, 2]| rush
621 1600 54 |[54, 4, 2]| rush
622 1600 54 |[54, 4, 2]| rush
624 1600 54 |[54, 4, 2]| rush
624 1600 54 |[54, 4, 2]| rush
628 1600 54 |[54, 4, 2]| rush
634 1600 54 |[54, 4, 2]| rush
634 1600 54 |[54, 4, 2]| rush
643 1600 54 |[54, 4, 2]| rush
648 1600 54 |[54, 4, 2]| rush
648 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
672 1600 54 |[54, 4, 2]| rush
672 1600 54 |[54, 4, 2]| rush
672 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
700 1600 54 |[54, 4, 2]| rush
700 1600 54 |[54, 4, 2]| rush
700 1600 54 |[54, 4, 2]| rush
700 1600 54 |[54, 4, 2]| rush
707 1650 54 |[54, 4, 2]| rush
707 1700 54 |[54, 4, 2]| rush
707 1750 54 |[54, 4, 2]| rush
707 1800 54 |[54, 4, 2]| rush
708 1850 54 |[54, 4, 2]| rush
708 1900 54 |[54, 4, 2]| rush
716 1900 54 |[54, 4, 2]| rush
716 1900 54 |[54, 4, 2]| rush
749 1900 54 |[54, 4, 2]| rush
749 1900 54 |[54, 4, 2]| rush
749 1900 54 |[54, 4, 2]| rush
750 1900 54 |[54, 4, 2]| rush
754 1900 54 |[54, 4, 2]| rush
754 1900 54 |[54, 4, 2]| rush
755 1900 54 |[54, 4, 2]| rush
771 1900 54 |[54, 4, 2]| rush
788 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
808 1900 55 |[55, 4, 2]| rush
808 1900 56 |[56, 4, 2]| rush
808 1900 57 |[57, 4, 2]| rush
808 1900 58 |[58, 4, 2]| rush
808 1900 59 |[59, 4, 2]| rush
808 1900 60 |[60, 4, 2]| rush
