1 0 0 |[0, 0, 0]| pvz-3gate-pressure
17 0 0 |[0, 0, 0]| pvz-3gate-pressure
27 0 0 |[0, 0, 0]| pvz-3gate-pressure
48 0 0 |[0, 0, 0]| pvz-3gate-pressure
56 0 0 |[0, 0, 0]| pvz-3gate-pressure
73 0 0 |[0, 0, 0]| pvz-3gate-pressure
73 0 0 |[0, 0, 0]| pvz-3gate-pressure
80 0 0 |[0, 0, 0]| pvz-3gate-pressure
95 0 0 |[0, 0, 0]| pvz-3gate-pressure
108 0 0 |[0, 0, 0]| pvz-3gate-pressure
135 0 0 |[0, 1, 0]| pvz-3gate-pressure
139 0 0 |[0, 1, 0]| pvz-3gate-pressure
164 0 0 |[0, 1, 1]| pvz-3gate-pressure
167 0 0 |[0, 1, 1]| pvz-3gate-pressure
173 0 0 |[0, 1, 1]| pvz-3gate-pressure
184 0 0 |[0, 1, 1]| pvz-3gate-pressure
192 0 0 |[0, 1, 1]| pvz-3gate-pressure
202 0 0 |[0, 1, 1]| pvz-3gate-pressure
224 0 0 |[0, 1, 1]| pvz-3gate-pressure
224 0 0 |[1, 1, 1]| pvz-3gate-pressure
237 0 0 |[1, 1, 1]| pvz-3gate-pressure
238 0 0 |[1, 1, 1]| pvz-3gate-pressure
240 0 0 |[1, 1, 1]| pvz-3gate-pressure
249 0 0 |[1, 1, 1]| pvz-3gate-pressure
249 0 0 |[1, 1, 1]| pvz-3gate-pressure
264 0 0 |[1, 1, 1]| pvz-3gate-pressure
264 0 0 |[1, 1, 1]| pvz-3gate-pressure
266 0 0 |[1, 1, 1]| pvz-3gate-pressure
295 0 0 |[1, 2, 1]| pvz-3gate-pressure
302 0 0 |[1, 2, 1]| pvz-3gate-pressure
302 0 0 |[1, 2, 1]| pvz-3gate-pressure
307 0 0 |[1, 2, 1]| pvz-3gate-pressure
307 0 0 |[1, 2, 1]| pvz-3gate-pressure
316 0 0 |[1, 2, 1]| pvz-3gate-pressure
322 0 0 |[1, 2, 1]| pvz-3gate-pressure
324 0 0 |[1, 2, 1]| pvz-3gate-pressure
327 0 0 |[1, 2, 1]| pvz-3gate-pressure
340 0 0 |[1, 2, 1]| pvz-3gate-pressure
340 0 0 |[1, 2, 1]| pvz-3gate-pressure
341 0 0 |[1, 2, 1]| pvz-3gate-pressure
355 0 0 |[1, 2, 1]| pvz-3gate-pressure
356 0 0 |[2, 2, 1]| pvz-3gate-pressure
356 0 0 |[2, 2, 1]| pvz-3gate-pressure
359 0 0 |[2, 2, 1]| pvz-3gate-pressure
362 0 0 |[2, 2, 1]| pvz-3gate-pressure
365 0 0 |[2, 2, 1]| pvz-3gate-pressure
376 0 0 |[2, 2, 1]| pvz-3gate-pressure
376 0 0 |[2, 2, 1]| pvz-3gate-pressure
377 0 0 |[2, 2, 1]| pvz-3gate-pressure
385 0 0 |[2, 2, 1]| pvz-3gate-pressure
396 0 0 |[2, 2, 1]| pvz-3gate-pressure
397 0 0 |[2, 2, 1]| pvz-3gate-pressure
397 0 0 |[2, 2, 1]| pvz-3gate-pressure
397 0 0 |[2, 2, 1]| pvz-3gate-pressure
404 0 0 |[2, 2, 1]| pvz-3gate-pressure
413 0 0 |[2, 2, 1]| pvz-3gate-pressure
416 0 0 |[2, 2, 1]| pvz-3gate-pressure
424 0 0 |[2, 2, 1]| pvz-3gate-pressure
429 0 0 |[3, 2, 1]| pvz-3gate-pressure
429 0 0 |[3, 2, 1]| pvz-3gate-pressure
432 0 0 |[3, 2, 1]| pvz-3gate-pressure
437 0 0 |[3, 2, 1]| pvz-3gate-pressure
445 0 0 |[3, 2, 1]| pvz-3gate-pressure
460 0 0 |[3, 2, 1]| pvz-3gate-pressure
465 0 0 |[3, 2, 1]| pvz-3gate-pressure
465 0 0 |[3, 2, 1]| pvz-3gate-pressure
466 0 0 |[3, 2, 1]| pvz-3gate-pressure
468 0 0 |[3, 2, 1]| pvz-3gate-pressure
468 0 0 |[3, 2, 1]| pvz-3gate-pressure
469 0 0 |[3, 2, 1]| pvz-3gate-pressure
494 0 0 |[3, 2, 1]| pvz-3gate-pressure
494 0 0 |[3, 2, 1]| pvz-3gate-pressure
494 0 0 |[3, 2, 1]| pvz-3gate-pressure
494 0 0 |[3, 2, 1]| pvz-3gate-pressure
537 0 0 |[3, 2, 1]| pvz-3gate-pressure
538 0 0 |[3, 2, 1]| pvz-3gate-pressure
538 0 0 |[3, 2, 1]| pvz-3gate-pressure
538 0 0 |[3, 2, 1]| pvz-3gate-pressure
548 0 0 |[3, 2, 1]| pvz-3gate-pressure
549 0 0 |[3, 2, 1]| pvz-3gate-pressure
549 0 0 |[3, 2, 1]| pvz-3gate-pressure
550 0 0 |[3, 2, 1]| pvz-3gate-pressure
562 0 0 |[4, 2, 1]| pvz-3gate-pressure
570 0 0 |[4, 2, 1]| pvz-3gate-pressure
571 0 0 |[4, 2, 1]| pvz-3gate-pressure
571 0 0 |[4, 2, 1]| pvz-3gate-pressure
571 0 0 |[4, 2, 1]| pvz-3gate-pressure
571 0 0 |[4, 2, 1]| pvz-3gate-pressure
571 0 0 |[4, 2, 1]| pvz-3gate-pressure
571 0 0 |[4, 2, 1]| pvz-3gate-pressure
571 0 0 |[4, 2, 1]| pvz-3gate-pressure
580 0 0 |[4, 2, 1]| pvz-3gate-pressure
580 0 0 |[4, 2, 1]| pvz-3gate-pressure
613 0 0 |[4, 2, 1]| pvz-3gate-pressure
613 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
614 0 0 |[4, 2, 1]| pvz-3gate-pressure
621 0 0 |[4, 2, 1]| pvz-3gate-pressure
622 0 0 |[4, 2, 1]| pvz-3gate-pressure
624 0 0 |[4, 2, 1]| pvz-3gate-pressure
624 0 0 |[4, 2, 1]| pvz-3gate-pressure
628 0 0 |[4, 2, 1]| pvz-3gate-pressure
634 0 0 |[4, 2, 1]| pvz-3gate-pressure
634 0 0 |[4, 2, 1]| pvz-3gate-pressure
643 0 0 |[4, 2, 1]| pvz-3gate-pressure
648 0 0 |[4, 2, 1]| pvz-3gate-pressure
648 0 0 |[4, 2, 1]| pvz-3gate-pressure
671 0 0 |[4, 2, 1]| pvz-3gate-pressure
671 0 0 |[4, 2, 1]| pvz-3gate-pressure
671 0 0 |[4, 2, 1]| pvz-3gate-pressure
671 0 0 |[4, 2, 1]| pvz-3gate-pressure
671 0 0 |[4, 2, 1]| pvz-3gate-pressure
671 0 0 |[4, 2, 1]| pvz-3gate-pressure
672 0 0 |[4, 2, 1]| pvz-3gate-pressure
672 0 0 |[4, 2, 1]| pvz-3gate-pressure
672 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
699 0 0 |[4, 2, 1]| pvz-3gate-pressure
700 0 0 |[4, 2, 1]| pvz-3gate-pressure
700 0 0 |[4, 2, 1]| pvz-3gate-pressure
700 0 0 |[4, 2, 1]| pvz-3gate-pressure
700 0 0 |[4, 2, 1]| pvz-3gate-pressure
707 0 0 |[4, 2, 1]| pvz-3gate-pressure
707 0 0 |[4, 2, 1]| pvz-3gate-pressure
707 0 0 |[4, 2, 1]| pvz-3gate-pressure
707 0 0 |[4, 2, 1]| pvz-3gate-pressure
708 0 0 |[4, 2, 1]| pvz-3gate-pressure
708 0 0 |[4, 2, 1]| pvz-3gate-pressure
716 0 0 |[4, 2, 1]| pvz-3gate-pressure
716 0 0 |[4, 2, 1]| pvz-3gate-pressure
749 0 0 |[4, 2, 1]| pvz-3gate-pressure
749 0 0 |[4, 2, 1]| pvz-3gate-pressure
749 0 0 |[4, 2, 1]| pvz-3gate-pressure
750 0 0 |[4, 2, 1]| pvz-3gate-pressure
754 0 0 |[4, 2, 1]| pvz-3gate-pressure
754 0 0 |[4, 2, 1]| pvz-3gate-pressure
755 0 0 |[4, 2, 1]| pvz-3gate-pressure
771 0 0 |[4, 2, 1]| pvz-3gate-pressure
788 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
789 0 0 |[4, 2, 1]| pvz-3gate-pressure
808 0 0 |[4, 2, 1]| pvz-3gate-pressure
808 0 0 |[4, 2, 1]| pvz-3gate-pressure
808 0 0 |[4, 2, 1]| pvz-3gate-pressure
808 0 0 |[4, 2, 1]| pvz-3gate-pressure
808 0 0 |[4, 2, 1]| pvz-3gate-pressure
808 0 0 |[4, 2, 1]| pvz-3gate-pressure
